fiscal_yr;service_id;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;846;333.0;333.0;0.0
2018-2019;850;80.0;83.0;3.0
2018-2019;851;0.0;0.0;0.0
2018-2019;859;276.0;338.0;62.0
2018-2019;860;703.0;750.0;47.0
2018-2019;861;1307.0;1318.0;11.0
2018-2019;862;36.0;125.0;89.0
2018-2019;863;822.0;842.0;20.0
2018-2019;864;145.0;160.0;15.0
2018-2019;868;117.0;190.0;73.0
2018-2019;869;19.0;19.0;0.0
2018-2019;870;1.445971554341207e+17;1.519001765511519e+17;7303021117031200.0
2018-2019;871;17352021421.0;17672021421.0;320000000.0
2018-2019;872;898.0;904.0;6.0
2018-2019;874;3028.0;3028.0;0.0
2018-2019;875;3448.0;3448.0;0.0
2018-2019;876;1200.0;1200.0;0.0
2018-2019;877;2909.0;2909.0;0.0
2018-2019;878;112.0;116.0;4.0
2018-2019;879;118604.0;122519.0;3915.0
2018-2019;880;20.0;20.0;0.0
2018-2019;882;443293.0;473394.0;30101.0
2018-2019;888;15181594.0;15181594.0;0.0
2018-2019;890;5.0;5.0;0.0
2018-2019;891;294.0;298.0;4.0
2018-2019;892;2820.0;4834.0;2014.0
