fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;128;1294;ONL;288503.0;303139.0;14636.0
2018-2019;128;1295;OTH;5592.0;5592.0;0.0
2018-2019;128;1296;OTH;1786898.0;1797318.0;10420.0
2018-2019;128;1296;TEL;1604887.0;1927756.0;322869.0
2018-2019;128;1298;OTH;113204.0;113204.0;0.0
2018-2019;128;1298;TEL;25002.0;29694.0;4692.0
2018-2019;128;1322;OTH;36148597.0;37156708.0;1008111.0
2018-2019;128;1322;TEL;38427.0;38822.0;395.0
2018-2019;128;1331;OTH;783.0;809.0;26.0
2018-2019;128;1331;TEL;25872.0;26391.0;519.0
2018-2019;128;1334;OTH;0.0;0.0;0.0
2018-2019;128;1337;OTH;3214.0;4050.0;836.0
2018-2019;128;1341;OTH;0.0;0.0;0.0
2018-2019;128;1369;OTH;11.0;11.0;0.0
2018-2019;128;1370;OTH;8.0;8.0;0.0
2018-2019;128;1371;OTH;7021.0;7021.0;0.0
2018-2019;128;1373;OTH;173.0;173.0;0.0
2018-2019;128;1374;OTH;2184.0;3698.0;1514.0
2018-2019;128;1375;ONL;1264.0;1305.0;41.0
2018-2019;128;1376;ONL;858.0;868.0;10.0
2018-2019;128;1377;OTH;240.0;289.0;49.0
2018-2019;128;1383;OTH;12.0;12.0;0.0
2018-2019;128;7;OTH;298297.0;310726.0;12429.0
2018-2019;128;991;OTH;51683.0;77340.0;25657.0
2018-2019;129;1145;OTH;0.0;19657.0;19657.0
2018-2019;129;1148;OTH;44595.0;47160.0;2565.0
2018-2019;129;1150;PERSON;310.0;310.0;0.0
2018-2019;129;1151;OTH;3500.0;3500.0;0.0
2018-2019;129;1159;OTH;124.0;124.0;0.0
2018-2019;129;1160;OTH;96.0;96.0;0.0
2018-2019;129;1161;OTH;15.0;15.0;0.0
2018-2019;129;1162;OTH;40.0;40.0;0.0
2018-2019;129;1163;OTH;0.0;0.0;0.0
2018-2019;129;1164;OTH;22.0;22.0;0.0
2018-2019;129;1165;OTH;25.0;25.0;0.0
2018-2019;129;1182;OTH;7600.0;9500.0;1900.0
2018-2019;129;1190;OTH;0.0;0.0;0.0
2018-2019;129;1196;OTH;123.0;153.0;30.0
2018-2019;129;1706;OTH;405.0;504.0;99.0
2018-2019;129;1734;ONL;0.0;0.0;0.0
2018-2019;129;1734;OTH;0.0;0.0;0.0
2018-2019;129;1736;ONL;32931.0;32931.0;0.0
2018-2019;129;1736;OTH;0.0;0.0;0.0
2018-2019;130;1211;OTH;297.0;328.0;31.0
2018-2019;130;1218;OTH;267.0;282.0;15.0
2018-2019;130;1221;TEL;23644.0;996242.0;972598.0
2018-2019;130;1222;ONL;1209.0;1209.0;0.0
2018-2019;130;1234;ONL;33.0;33.0;0.0
2018-2019;130;1235;ONL;60654.0;68343.0;7689.0
2018-2019;130;1237;ONL;3200000.0;3200000.0;0.0
2018-2019;130;1243;OTH;645.0;694.0;49.0
2018-2019;130;1244;OTH;203.0;209.0;6.0
2018-2019;130;1248;ONL;857.0;954.0;97.0
2018-2019;130;1248;OTH;18.0;20.0;2.0
2018-2019;130;1250;OTH;0.0;0.0;0.0
2018-2019;130;1253;OTH;11438.0;11602.0;164.0
2018-2019;130;1255;OTH;8645.0;8873.0;228.0
2018-2019;130;1258;ONL;56737.0;63127.0;6390.0
2018-2019;130;1258;OTH;49067.0;104031.0;54964.0
2018-2019;130;1267;OTH;140305.0;166131.0;25826.0
2018-2019;130;1268;ONL;38.0;42.0;4.0
2018-2019;130;1274;ONL;35.0;38.0;3.0
2018-2019;130;1276;ONL;1103.0;1204.0;101.0
2018-2019;130;1282;ONL;18.0;20.0;2.0
2018-2019;130;1287;ONL;62.0;68.0;6.0
2018-2019;130;1289;ONL;31.0;34.0;3.0
2018-2019;130;1291;ONL;93.0;103.0;10.0
2018-2019;130;1304;OTH;16052.0;16100.0;48.0
2018-2019;130;1306;OTH;15072.0;15700.0;628.0
2018-2019;130;1307;OTH;78.0;174.0;96.0
2018-2019;130;1307;TEL;31.0;70.0;39.0
2018-2019;130;1315;ONL;28716.0;28716.0;0.0
2018-2019;130;1323;ONL;59.0;66.0;7.0
2018-2019;130;1332;ONL;7726.0;8471.0;745.0
2018-2019;130;1332;TEL;24763.0;27152.0;2389.0
2018-2019;130;1336;OTH;1834.0;2084.0;250.0
2018-2019;130;1338;ONL;234.0;277.0;43.0
2018-2019;130;1340;ONL;91.0;93.0;2.0
2018-2019;130;1342;ONL;291.0;300.0;9.0
2018-2019;130;1344;ONL;25.0;27.0;2.0
2018-2019;130;1345;ONL;9.0;11.0;2.0
2018-2019;130;1346;ONL;0.0;0.0;0.0
2018-2019;130;1888;ONL;3201.0;3300.0;99.0
2018-2019;130;989;OTH;201.0;234.0;33.0
2018-2019;132;658;OTH;877.0;1045.0;168.0
2018-2019;132;659;OTH;99.0;100.0;1.0
2018-2019;132;660;OTH;732.0;759.0;27.0
2018-2019;132;661;OTH;132.0;140.0;8.0
2018-2019;132;662;OTH;371.0;396.0;25.0
2018-2019;132;663;OTH;52.0;52.0;0.0
2018-2019;134;1588;OTH;300.0;300.0;0.0
2018-2019;134;1640;ONL;388.0;400.0;12.0
2018-2019;134;1641;ONL;171.0;180.0;9.0
2018-2019;135;278;ONL;1.0;1.0;0.0
2018-2019;135;280;ONL;15.0;16.0;1.0
2018-2019;135;282;ONL;49.0;65.0;16.0
2018-2019;135;283;ONL;2.0;2.0;0.0
2018-2019;135;284;ONL;0.0;0.0;0.0
2018-2019;135;288;ONL;393.0;397.0;4.0
2018-2019;135;335;ONL;111.0;111.0;0.0
2018-2019;135;337;ONL;778.0;791.0;13.0
2018-2019;135;339;ONL;4.0;5.0;1.0
2018-2019;135;341;ONL;90.0;94.0;4.0
2018-2019;135;344;ONL;195.0;207.0;12.0
2018-2019;135;351;ONL;32.0;32.0;0.0
2018-2019;135;352;ONL;32.0;32.0;0.0
2018-2019;135;353;ONL;0.0;0.0;0.0
2018-2019;135;354;ONL;0.0;0.0;0.0
2018-2019;135;355;ONL;0.0;0.0;0.0
2018-2019;135;356;ONL;84.0;84.0;0.0
2018-2019;135;767;ONL;33.0;45.0;12.0
2018-2019;135;775;ONL;304.0;381.0;77.0
2018-2019;135;795;ONL;16.0;19.0;3.0
2018-2019;135;808;ONL;629.0;629.0;0.0
2018-2019;135;810;ONL;0.0;0.0;0.0
2018-2019;135;811;ONL;0.0;0.0;0.0
2018-2019;135;813;ONL;0.0;0.0;0.0
2018-2019;135;814;ONL;0.0;0.0;0.0
2018-2019;135;815;ONL;0.0;0.0;0.0
2018-2019;135;816;ONL;0.0;0.0;0.0
2018-2019;135;817;ONL;0.0;0.0;0.0
2018-2019;135;818;OTH;118.0;118.0;0.0
2018-2019;135;838;ONL;0.0;0.0;0.0
2018-2019;135;845;PERSON;0.0;0.0;0.0
2018-2019;135;882;ONL;169.0;174.0;5.0
2018-2019;135;944;OTH;0.0;0.0;0.0
2018-2019;136;10;ONL;15313.0;19701.0;4388.0
2018-2019;136;10;OTH;0.0;0.0;0.0
2018-2019;136;1095;OTH;33000000.0;33000000.0;0.0
2018-2019;136;1130;ONL;0.0;0.0;0.0
2018-2019;136;1144;OTH;1050123.0;1865694.0;815571.0
2018-2019;136;13;TEL;11446.0;11800.0;354.0
2018-2019;136;843;ONL;8000.0;20000.0;12000.0
2018-2019;136;870;ONL;420736.0;480351.0;59615.0
2018-2019;136;871;OTH;3358.0;3390.0;32.0
2018-2019;136;872;ONL;898.0;904.0;6.0
2018-2019;136;900;OTH;47633.0;48631.0;998.0
2018-2019;136;900;TEL;437093.0;528037.0;90944.0
2018-2019;136;902;OTH;3200000.0;3200000.0;0.0
2018-2019;136;902;TEL;342302.0;378766.0;36464.0
2018-2019;136;903;OTH;339.0;339.0;0.0
2018-2019;136;904;OTH;45000000.0;45000000.0;0.0
2018-2019;136;905;OTH;95.0;140.0;45.0
2018-2019;136;906;OTH;14857.0;14857.0;0.0
2018-2019;136;908;OTH;347.0;365.0;18.0
2018-2019;136;909;OTH;275.0;275.0;0.0
2018-2019;136;910;OTH;137.0;138.0;1.0
2018-2019;136;914;TEL;1120.0;1167.0;47.0
2018-2019;136;916;OTH;271.0;287.0;16.0
2018-2019;136;938;ONL;97407.0;102471.0;5064.0
2018-2019;136;938;OTH;43358.0;55988.0;12630.0
2018-2019;136;938;TEL;45556.0;45869.0;313.0
2018-2019;136;939;ONL;26480.0;26747.0;267.0
2018-2019;136;940;ONL;3815.0;4875.0;1060.0
2018-2019;136;960;ONL;3542.0;3937.0;395.0
2018-2019;136;984;OTH;0.0;0.0;0.0
2018-2019;137;1208;ONL;62.0;62.0;0.0
2018-2019;137;243;ONL;34.0;43.0;9.0
2018-2019;137;245;ONL;57.0;62.0;5.0
2018-2019;137;247;ONL;1680.0;2596.0;916.0
