fiscal_yr;org_id;service_id;channel;volume
2019-2020;123;1420;online;331205.0
2020-2021;123;1420;online;480591.0
2021-2022;123;1420;online;588693.0
2019-2020;123;1421;online;3693.0
2022-2023;123;1422;online;3064022.0
2018-2019;123;1422;online;4000216.0
2019-2020;123;1422;online;3737587.0
2020-2021;123;1422;online;215299.0
2021-2022;123;1422;online;1036452.0
2022-2023;123;1423;online;1491479.0
2018-2019;123;1423;online;909065.0
2019-2020;123;1423;online;942090.0
2020-2021;123;1423;online;348197.0
2021-2022;123;1423;online;1030057.0
2018-2019;123;1424;online;99240.0
2019-2020;123;1424;online;129667.0
2020-2021;123;1424;online;201169.0
2021-2022;123;1424;online;157399.0
2019-2020;123;1425;online;23375.0
2020-2021;123;1425;online;41891.0
2021-2022;123;1425;online;37330.0
2022-2023;123;1426;online;172.0
2018-2019;123;1426;online;108.0
2018-2019;123;1427;online;3.0
2022-2023;123;1428;online;918893.0
2018-2019;123;1428;online;157165.0
2019-2020;123;1428;online;509161.0
2020-2021;123;1428;online;507931.0
2021-2022;123;1428;online;760249.0
2018-2019;123;1429;online;74555.0
2019-2020;123;1429;online;72593.0
