fiscal_yr;department_en;department_fr;org_id;activated_point_count;point_count;maf6_score
2019-2020;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;7;18;38.88888888888889
2019-2020;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;7;42;16.666666666666664
2019-2020;Fisheries and Oceans Canada;Pêches et Océans Canada;125;31;384;8.072916666666668
2019-2020;Global Affairs Canada;Affaires mondiales Canada;126;32;210;15.238095238095239
2019-2020;Health Canada;Santé Canada;127;56;492;11.38211382113821
2019-2020;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;4;72;5.555555555555555
2019-2020;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;11;36;30.555555555555557
2019-2020;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;205;432;47.4537037037037
2019-2020;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;14;72;19.444444444444446
2019-2020;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;127;282;45.0354609929078
2019-2020;Invest in Canada Hub;Investir au Canada;347;3;18;16.666666666666664
2019-2020;Library and Archives Canada;Bibliothèque et Archives Canada;199;14;54;25.925925925925924
2019-2020;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;1;12;8.333333333333332
2019-2020;National Defence;Défense nationale;133;8;60;13.333333333333334
2019-2020;National Film Board;Office national du film;223;4;18;22.22222222222222
2019-2020;National Research Council Canada;Conseil national de recherches Canada;228;31;90;34.44444444444444
2019-2020;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;302;0;12;0.0
2019-2020;Natural Resources Canada;Ressources naturelles Canada;134;60;198;30.303030303030305
2019-2020;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;23;36;63.888888888888886
2019-2020;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;7;36;19.444444444444446
2019-2020;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;2;48;4.166666666666666
2019-2020;Parks Canada;Parcs Canada;263;4;72;5.555555555555555
2019-2020;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;32;66;48.484848484848484
2019-2020;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;5;12;41.66666666666667
2019-2020;Polar Knowledge Canada;Savoir polaire Canada;552;4;12;33.33333333333333
2019-2020;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;9;24;37.5
2019-2020;Privy Council Office;Bureau du Conseil privé;278;6;36;16.666666666666664
2019-2020;Public Health Agency of Canada;Agence de la santé publique du Canada;280;10;78;12.82051282051282
2019-2020;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;248;2;6;33.33333333333333
2019-2020;Public Safety Canada;Sécurité publique Canada;135;24;324;7.4074074074074066
2019-2020;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;87;150;57.99999999999999
2019-2020;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136;76;276;27.536231884057973
2019-2020;RCMP External Review Committee;Comité externe d'examen de la GRC;296;0;6;0.0
2019-2020;Royal Canadian Mounted Police;Gendarmerie royale du Canada;295;19;108;17.59259259259259
2019-2020;Shared Services Canada;Services partagés Canada;305;40;72;55.55555555555556
2019-2020;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;306;21;42;50.0
2019-2020;Statistics Canada;Statistique Canada;313;46;138;33.33333333333333
2019-2020;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;247;0;18;0.0
2019-2020;The National Battlefields Commission;Commission des champs de bataille nationaux;218;9;42;21.428571428571427
2019-2020;Transport Canada;Transports Canada;138;36;612;5.88235294117647
2019-2020;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;98;0;30;0.0
2019-2020;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;326;51;90;56.666666666666664
2019-2020;Veterans Affairs Canada;Anciens Combattants Canada;139;114;168;67.85714285714286
2019-2020;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);333;7;12;58.333333333333336
2019-2020;Women and Gender Equality Canada;Femmes et Égalité des genres Canada;246;9;18;50.0
2020-2021;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;2;24;8.333333333333332
2020-2021;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;92;234;39.31623931623932
