org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
123;2024-2025;BGF01;2020-2021;2020-2021;actual;spending;83300128.27;2020-2021
123;2024-2025;BGF02;2020-2021;2020-2021;actual;spending;307079051.53;2020-2021
123;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;60190685.58;2020-2021
123;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;23242691.62;2020-2021
123;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;14665871.27;2020-2021
123;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;37205928.79;2020-2021
123;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;38070997.63;2020-2021
123;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;8726111.04;2020-2021
123;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;126803089.26;2020-2021
123;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;24709899.51;2020-2021
123;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;1864984.36;2020-2021
123;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;1011947.51;2020-2021
124;2024-2025;BUV01;2020-2021;2020-2021;actual;spending;23120418.92;2020-2021
124;2024-2025;BUV02;2020-2021;2020-2021;actual;spending;32612398.38;2020-2021
124;2024-2025;BUV03;2020-2021;2020-2021;actual;spending;61726428.48;2020-2021
124;2024-2025;BUV04;2020-2021;2020-2021;actual;spending;28202680.24;2020-2021
124;2024-2025;BUV05;2020-2021;2020-2021;actual;spending;67718084.16;2020-2021
124;2024-2025;BUV06;2020-2021;2020-2021;actual;spending;8540356.34;2020-2021
124;2024-2025;BUV07;2020-2021;2020-2021;actual;spending;41880464074.6;2020-2021
124;2024-2025;BUV08;2020-2021;2020-2021;actual;spending;54040293730.87;2020-2021
124;2024-2025;BUV09;2020-2021;2020-2021;actual;spending;715401.3;2020-2021
124;2024-2025;BUV10;2020-2021;2020-2021;actual;spending;569726196.69;2020-2021
124;2024-2025;BUV11;2020-2021;2020-2021;actual;spending;20896814813.91;2020-2021
124;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;13271165.37;2020-2021
124;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;10664889.68;2020-2021
124;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;3962060.94;2020-2021
124;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;6093231.64;2020-2021
124;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;3019046.6;2020-2021
124;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;1551833.48;2020-2021
124;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;8695731.06;2020-2021
124;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;2310581.7;2020-2021
124;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;154946.81;2020-2021
124;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;569804.09;2020-2021
