fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2018-2019;125;1045;2018-2019_125_1045;account_registration;NA;1
2019-2020;125;1045;2019-2020_125_1045;account_registration;NA;1
2020-2021;125;1045;2020-2021_125_1045;account_registration;NA;1
2021-2022;125;1045;2021-2022_125_1045;account_registration;NA;1
2022-2023;313;1046;2022-2023_313_1046;account_registration;NA;1
2018-2019;313;1046;2018-2019_313_1046;account_registration;NA;1
2019-2020;313;1046;2019-2020_313_1046;account_registration;NA;1
2020-2021;313;1046;2020-2021_313_1046;account_registration;NA;1
2021-2022;313;1046;2021-2022_313_1046;account_registration;NA;1
2022-2023;313;1047;2022-2023_313_1047;account_registration;NA;1
2018-2019;313;1047;2018-2019_313_1047;account_registration;NA;1
2019-2020;313;1047;2019-2020_313_1047;account_registration;NA;1
2020-2021;313;1047;2020-2021_313_1047;account_registration;NA;1
2021-2022;313;1047;2021-2022_313_1047;account_registration;NA;1
2022-2023;135;1048;2022-2023_135_1048;account_registration;NA;1
2018-2019;135;1048;2018-2019_135_1048;account_registration;N;1
2019-2020;135;1048;2019-2020_135_1048;account_registration;N;1
2020-2021;135;1048;2020-2021_135_1048;account_registration;NA;1
2021-2022;135;1048;2021-2022_135_1048;account_registration;NA;1
2022-2023;133;1050;2022-2023_133_1050;account_registration;NA;1
2018-2019;133;1050;2018-2019_133_1050;account_registration;N;1
2019-2020;133;1050;2019-2020_133_1050;account_registration;N;1
2020-2021;133;1050;2020-2021_133_1050;account_registration;NA;1
2021-2022;133;1050;2021-2022_133_1050;account_registration;NA;1
2018-2019;133;1051;2018-2019_133_1051;account_registration;NA;1
2018-2019;133;1052;2018-2019_133_1052;account_registration;NA;1
2019-2020;133;1052;2019-2020_133_1052;account_registration;Y;1
2020-2021;133;1052;2020-2021_133_1052;account_registration;Y;1
2018-2019;133;1053;2018-2019_133_1053;account_registration;NA;1
2019-2020;133;1053;2019-2020_133_1053;account_registration;NA;1
2022-2023;133;1054;2022-2023_133_1054;account_registration;NA;1
2018-2019;133;1054;2018-2019_133_1054;account_registration;NA;1
2019-2020;133;1054;2019-2020_133_1054;account_registration;NA;1
2020-2021;133;1054;2020-2021_133_1054;account_registration;NA;1
2021-2022;133;1054;2021-2022_133_1054;account_registration;NA;1
2022-2023;127;1055;2022-2023_127_1055;account_registration;NA;1
2018-2019;127;1055;2018-2019_127_1055;account_registration;N;1
2019-2020;127;1055;2019-2020_127_1055;account_registration;N;1
2020-2021;127;1055;2020-2021_127_1055;account_registration;Y;1
2021-2022;127;1055;2021-2022_127_1055;account_registration;NA;1
2018-2019;133;1056;2018-2019_133_1056;account_registration;Y;1
2019-2020;133;1056;2019-2020_133_1056;account_registration;Y;1
2018-2019;133;1057;2018-2019_133_1057;account_registration;NA;1
2019-2020;133;1057;2019-2020_133_1057;account_registration;NA;1
2020-2021;133;1057;2020-2021_133_1057;account_registration;NA;1
