service_id;fiscal_yr;program_id;org_id;latest_si_yr;report_yr;measure_yr;planned_actual;spending_fte;measure;valid_program
1026;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;spending;103176344.14;True
1026;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;ftes;498.0;True
1026;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;spending;217921344.75;True
1026;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;ftes;521.0;True
1026;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;spending;135223230.36;True
1026;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;ftes;629.0;True
1027;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;spending;107685186.36;True
1027;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;ftes;622.0;True
1027;2018-2019;BTF01;125;;;;;;;False
1027;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;spending;103176344.14;True
1027;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;ftes;498.0;True
1027;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;spending;217921344.75;True
1027;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;ftes;521.0;True
1027;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;spending;135223230.36;True
1027;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;ftes;629.0;True
1028;2022-2023;BTF07;125;2023-2024;2022-2023;2022-2023;actual;spending;154800087.62;True
1028;2022-2023;BTF07;125;2023-2024;2022-2023;2022-2023;actual;ftes;794.0;True
1028;2018-2019;BTF07;125;;;;;;;False
1028;2019-2020;BTF07;125;2023-2024;2019-2020;2019-2020;actual;spending;132829077.9;True
1028;2019-2020;BTF07;125;2023-2024;2019-2020;2019-2020;actual;ftes;762.0;True
1028;2020-2021;BTF07;125;2023-2024;2020-2021;2020-2021;actual;spending;140888027.72;True
1028;2020-2021;BTF07;125;2023-2024;2020-2021;2020-2021;actual;ftes;768.0;True
1028;2021-2022;BTF07;125;2023-2024;2021-2022;2021-2022;actual;spending;155655667.99;True
1028;2021-2022;BTF07;125;2023-2024;2021-2022;2021-2022;actual;ftes;780.0;True
1029;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1029;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1029;2018-2019;BTG04;125;;;;;;;False
1029;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1029;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1029;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1029;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1029;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1029;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1030;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1030;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1030;2018-2019;BTG04;125;;;;;;;False
1030;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1030;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1030;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1030;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1030;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1030;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1031;2018-2019;BTG01;125;;;;;;;False
1031;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;spending;99450595.21;True
1031;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;ftes;446.0;True
1032;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;spending;107685186.36;True
1032;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;ftes;622.0;True
1032;2018-2019;BTF01;125;;;;;;;False
1032;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;spending;103176344.14;True
1032;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;ftes;498.0;True
1032;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;spending;217921344.75;True
1032;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;ftes;521.0;True
1032;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;spending;135223230.36;True
1032;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;ftes;629.0;True
1033;2022-2023;BTF06;125;2023-2024;2022-2023;2022-2023;actual;spending;245308449.44;True
1033;2022-2023;BTF06;125;2023-2024;2022-2023;2022-2023;actual;ftes;224.0;True
1033;2018-2019;BTF06;125;;;;;;;False
1033;2019-2020;BTF06;125;2023-2024;2019-2020;2019-2020;actual;spending;233589862.14;True
1033;2019-2020;BTF06;125;2023-2024;2019-2020;2019-2020;actual;ftes;197.0;True
1033;2020-2021;BTF06;125;2023-2024;2020-2021;2020-2021;actual;spending;164836999.38;True
1033;2020-2021;BTF06;125;2023-2024;2020-2021;2020-2021;actual;ftes;190.0;True
1033;2021-2022;BTF06;125;2023-2024;2021-2022;2021-2022;actual;spending;151221000.9;True
1033;2021-2022;BTF06;125;2023-2024;2021-2022;2021-2022;actual;ftes;213.0;True
1034;2022-2023;BTF06;125;2023-2024;2022-2023;2022-2023;actual;spending;245308449.44;True
1034;2022-2023;BTF06;125;2023-2024;2022-2023;2022-2023;actual;ftes;224.0;True
