fiscal_yr;service_id;channel;volume
2019-2020;1269;telephone;0.0
2020-2021;1269;telephone;0.0
2018-2019;1270;telephone;0.0
2019-2020;1270;telephone;0.0
2020-2021;1270;telephone;0.0
2018-2019;1271;telephone;0.0
2019-2020;1271;telephone;0.0
2020-2021;1271;telephone;0.0
2018-2019;1272;telephone;0.0
2019-2020;1272;telephone;0.0
2020-2021;1272;telephone;0.0
2018-2019;1273;telephone;0.0
2019-2020;1273;telephone;0.0
2020-2021;1273;telephone;0.0
2018-2019;1274;telephone;0.0
2019-2020;1274;telephone;0.0
2020-2021;1274;telephone;0.0
2018-2019;1275;telephone;0.0
2019-2020;1275;telephone;0.0
2020-2021;1275;telephone;0.0
2018-2019;1276;telephone;0.0
2019-2020;1276;telephone;0.0
2020-2021;1276;telephone;0.0
2018-2019;1277;telephone;0.0
2019-2020;1277;telephone;0.0
2020-2021;1277;telephone;0.0
2018-2019;1278;telephone;0.0
2018-2019;1279;telephone;0.0
2019-2020;1279;telephone;0.0
2020-2021;1279;telephone;0.0
2018-2019;127;telephone;0.0
2019-2020;127;telephone;0.0
2020-2021;127;telephone;0.0
2018-2019;1280;telephone;0.0
2019-2020;1280;telephone;0.0
2020-2021;1280;telephone;0.0
2018-2019;1281;telephone;0.0
2019-2020;1281;telephone;0.0
2020-2021;1281;telephone;0.0
2018-2019;1282;telephone;0.0
2019-2020;1282;telephone;0.0
2020-2021;1282;telephone;0.0
2018-2019;1283;telephone;0.0
2019-2020;1283;telephone;0.0
2020-2021;1283;telephone;0.0
2018-2019;1284;telephone;0.0
2019-2020;1284;telephone;0.0
2020-2021;1284;telephone;0.0
2018-2019;1286;telephone;0.0
2019-2020;1286;telephone;0.0
2020-2021;1286;telephone;0.0
2018-2019;1287;telephone;0.0
2019-2020;1287;telephone;0.0
2020-2021;1287;telephone;0.0
2018-2019;1288;telephone;0.0
2018-2019;1289;telephone;0.0
2019-2020;1289;telephone;0.0
2020-2021;1289;telephone;0.0
2018-2019;1290;telephone;0.0
2019-2020;1290;telephone;0.0
2020-2021;1290;telephone;0.0
2018-2019;1291;telephone;0.0
2019-2020;1291;telephone;0.0
2020-2021;1291;telephone;0.0
2018-2019;1292;telephone;0.0
2019-2020;1292;telephone;0.0
2020-2021;1292;telephone;0.0
2018-2019;1293;telephone;0.0
2019-2020;1293;telephone;0.0
2020-2021;1293;telephone;0.0
2018-2019;1294;telephone;0.0
2019-2020;1294;telephone;0.0
2020-2021;1294;telephone;0.0
2018-2019;1295;telephone;0.0
2019-2020;1295;telephone;0.0
2020-2021;1295;telephone;0.0
2018-2019;1296;telephone;0.0
2019-2020;1296;telephone;0.0
2020-2021;1296;telephone;0.0
2018-2019;1297;telephone;0.0
2019-2020;1297;telephone;0.0
2020-2021;1297;telephone;0.0
2018-2019;1298;telephone;0.0
2019-2020;1298;telephone;0.0
2020-2021;1298;telephone;0.0
2022-2023;1299;telephone;13428.0
2018-2019;1299;telephone;0.0
2019-2020;1299;telephone;0.0
2020-2021;1299;telephone;0.0
2021-2022;1299;telephone;0.0
2018-2019;129;telephone;0.0
2019-2020;129;telephone;0.0
2020-2021;129;telephone;0.0
2018-2019;12;telephone;0.0
2018-2019;1300;telephone;0.0
2019-2020;1300;telephone;0.0
2020-2021;1300;telephone;0.0
2021-2022;1300;telephone;0.0
2018-2019;1301;telephone;0.0
2019-2020;1301;telephone;0.0
2020-2021;1301;telephone;0.0
2018-2019;1302;telephone;0.0
2019-2020;1302;telephone;0.0
2020-2021;1302;telephone;0.0
2022-2023;1303;telephone;62.0
2018-2019;1303;telephone;0.0
2019-2020;1303;telephone;0.0
2020-2021;1303;telephone;0.0
2018-2019;1304;telephone;0.0
2019-2020;1304;telephone;0.0
2020-2021;1304;telephone;0.0
2018-2019;1305;telephone;0.0
2019-2020;1305;telephone;0.0
2020-2021;1305;telephone;0.0
2018-2019;1306;telephone;0.0
2019-2020;1306;telephone;0.0
2020-2021;1306;telephone;0.0
2018-2019;1307;telephone;0.0
2019-2020;1307;telephone;0.0
2020-2021;1307;telephone;0.0
2018-2019;1308;telephone;0.0
2019-2020;1308;telephone;0.0
2020-2021;1308;telephone;0.0
2022-2023;1309;telephone;0.0
2018-2019;1309;telephone;0.0
2019-2020;1309;telephone;0.0
2020-2021;1309;telephone;0.0
2021-2022;1309;telephone;0.0
2018-2019;130;telephone;0.0
2019-2020;130;telephone;0.0
2020-2021;130;telephone;0.0
2018-2019;1310;telephone;0.0
2019-2020;1310;telephone;0.0
2020-2021;1310;telephone;0.0
2021-2022;1310;telephone;0.0
