si_link_yr;organization_id;program_id;service_id;fiscal_yr;core_responsibility_en;report_yr;measure_yr;planned_actual;ftes;spending
2021;137;BGT03;977;2020-2021;Conserving Nature;2021.0;2021.0;actual;231.0;177851217.82
2022;137;BGT03;977;2021-2022;Conserving Nature;2022.0;2022.0;actual;265.0;187325467.29
2023;152;BUW01;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2023.0;2023.0;actual;178.0;26798462.87
2023;152;BUW01;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2024.0;2024.0;planned;176.0;30206628.0
2023;152;BUW01;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2025.0;planned;267.0;48376893.0
2023;152;BUW01;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2026.0;planned;265.0;49135545.0
2023;152;BUW01;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2027.0;planned;265.0;48672529.0
2023;152;BUW02;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2023.0;2023.0;actual;2.0;894511.35
2023;152;BUW02;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2024.0;2024.0;planned;3.0;612939.0
2023;152;BUW02;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2025.0;planned;6.0;984953.0
2023;152;BUW02;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2026.0;planned;6.0;1000400.0
2023;152;BUW02;978;2022-2023;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2025.0;2027.0;planned;6.0;990973.0
2023;152;BUX01;978;2022-2023;Production and Dissemination of Financial Intelligence;2023.0;2023.0;actual;125.0;21026896.28
2023;152;BUX01;978;2022-2023;Production and Dissemination of Financial Intelligence;2024.0;2024.0;planned;136.0;21619540.0
2023;152;BUX01;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2025.0;planned;213.0;39935682.0
2023;152;BUX01;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2026.0;planned;193.0;28081218.0
2023;152;BUX01;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2027.0;planned;191.0;27768597.0
2023;152;BUX02;978;2022-2023;Production and Dissemination of Financial Intelligence;2023.0;2023.0;actual;12.0;1850855.61
2023;152;BUX02;978;2022-2023;Production and Dissemination of Financial Intelligence;2024.0;2024.0;planned;18.0;3482695.0
2023;152;BUX02;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2025.0;planned;24.0;5188187.0
2023;152;BUX02;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2026.0;planned;22.0;3648131.0
2023;152;BUX02;978;2022-2023;Production and Dissemination of Financial Intelligence;2025.0;2027.0;planned;22.0;3607518.0
2019;152;BUW01;978;2018-2019;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2019.0;2019.0;actual;127.0;17093463.45
2019;152;BUW02;978;2018-2019;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2019.0;2019.0;actual;2.0;393273.4
2019;152;BUX01;978;2018-2019;Production and Dissemination of Financial Intelligence;2019.0;2019.0;actual;99.0;14338979.73
2019;152;BUX02;978;2018-2019;Production and Dissemination of Financial Intelligence;2019.0;2019.0;actual;12.0;1579207.16
2020;152;BUW01;978;2019-2020;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2020.0;2020.0;actual;125.0;18219982.2
2020;152;BUW02;978;2019-2020;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2020.0;2020.0;actual;2.0;554783.4
2020;152;BUX01;978;2019-2020;Production and Dissemination of Financial Intelligence;2020.0;2020.0;actual;92.0;14250549.43
2020;152;BUX02;978;2019-2020;Production and Dissemination of Financial Intelligence;2020.0;2020.0;actual;10.0;1514488.96
2021;152;BUW01;978;2020-2021;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2021.0;2021.0;actual;136.0;19553711.13
2021;152;BUW02;978;2020-2021;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2021.0;2021.0;actual;2.0;390702.59
2021;152;BUX01;978;2020-2021;Production and Dissemination of Financial Intelligence;2021.0;2021.0;actual;103.0;16181504.24
2021;152;BUX02;978;2020-2021;Production and Dissemination of Financial Intelligence;2021.0;2021.0;actual;8.0;1191533.46
2022;152;BUW01;978;2021-2022;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2022.0;2022.0;actual;170.0;24669224.78
2022;152;BUW02;978;2021-2022;Compliance with Anti-Money Laundering and Anti-Terrorism Financing Legislation and Regulations;2022.0;2022.0;actual;3.0;689923.74
2022;152;BUX01;978;2021-2022;Production and Dissemination of Financial Intelligence;2022.0;2022.0;actual;120.0;19029390.09
2022;152;BUX02;978;2021-2022;Production and Dissemination of Financial Intelligence;2022.0;2022.0;actual;11.0;1529027.09
2023;137;BGR01;979;2022-2023;Taking Action on Clean Growth and Climate Change;2023.0;2023.0;actual;642.0;307687028.35
2023;137;BGR01;979;2022-2023;Taking Action on Clean Growth and Climate Change;2024.0;2024.0;planned;672.0;777847583.0
2023;137;BGR01;979;2022-2023;Taking Action on Clean Growth and Climate Change;2025.0;2025.0;planned;794.0;393997740.0
2023;137;BGR01;979;2022-2023;Taking Action on Clean Growth and Climate Change;2025.0;2026.0;planned;726.0;372112888.0
2023;137;BGR01;979;2022-2023;Taking Action on Clean Growth and Climate Change;2025.0;2027.0;planned;515.0;375425129.0
2019;137;BGR01;979;2018-2019;Taking Action on Clean Growth and Climate Change;2019.0;2019.0;actual;325.0;281256193.33
2020;137;BGR01;979;2019-2020;Taking Action on Clean Growth and Climate Change;2020.0;2020.0;actual;395.43;338441563.2
2021;137;BGR01;979;2020-2021;Taking Action on Clean Growth and Climate Change;2021.0;2021.0;actual;430.0;439525765.66
2022;137;BGR01;979;2021-2022;Taking Action on Clean Growth and Climate Change;2022.0;2022.0;actual;492.0;319345904.24
2019;137;BGR01;980;2018-2019;Taking Action on Clean Growth and Climate Change;2019.0;2019.0;actual;325.0;281256193.33
2019;137;BGR03;980;2018-2019;Taking Action on Clean Growth and Climate Change;2019.0;2019.0;actual;136.0;23151793.17
2020;137;BGR01;980;2019-2020;Taking Action on Clean Growth and Climate Change;2020.0;2020.0;actual;395.43;338441563.2
2020;137;BGR03;980;2019-2020;Taking Action on Clean Growth and Climate Change;2020.0;2020.0;actual;145.44;25093183.77
2021;137;BGR01;980;2020-2021;Taking Action on Clean Growth and Climate Change;2021.0;2021.0;actual;430.0;439525765.66
2021;137;BGR03;980;2020-2021;Taking Action on Clean Growth and Climate Change;2021.0;2021.0;actual;132.0;23614711.05
2023;137;ISS12;981;2022-2023;Internal Services;2023.0;2023.0;actual;173.0;26846043.3
2023;137;ISS12;981;2022-2023;Internal Services;2024.0;2024.0;planned;168.0;18052148.0
2023;137;ISS12;981;2022-2023;Internal Services;2025.0;2025.0;planned;166.0;20552098.0
2023;137;ISS12;981;2022-2023;Internal Services;2025.0;2026.0;planned;163.0;20525228.0
2023;137;ISS12;981;2022-2023;Internal Services;2025.0;2027.0;planned;149.0;17951661.0
2019;137;ISS12;981;2018-2019;Internal Services;2019.0;2019.0;actual;170.0;20612623.62
2020;137;ISS12;981;2019-2020;Internal Services;2020.0;2020.0;actual;164.76;19097308.3
2021;137;ISS12;981;2020-2021;Internal Services;2021.0;2021.0;actual;149.0;18933305.58
2022;137;ISS12;981;2021-2022;Internal Services;2022.0;2022.0;actual;158.0;21578841.29
2023;137;ISS12;982;2022-2023;Internal Services;2023.0;2023.0;actual;173.0;26846043.3
2023;137;ISS12;982;2022-2023;Internal Services;2024.0;2024.0;planned;168.0;18052148.0
2023;137;ISS12;982;2022-2023;Internal Services;2025.0;2025.0;planned;166.0;20552098.0
2023;137;ISS12;982;2022-2023;Internal Services;2025.0;2026.0;planned;163.0;20525228.0
2023;137;ISS12;982;2022-2023;Internal Services;2025.0;2027.0;planned;149.0;17951661.0
2019;137;ISS12;982;2018-2019;Internal Services;2019.0;2019.0;actual;170.0;20612623.62
2019;137;ISS16;982;2018-2019;Internal Services;2019.0;2019.0;actual;75.0;11940966.44
